iter	Passed	Remaining
0	1	124
1	2	126
2	4	131
3	5	121
4	6	117
5	7	113
6	8	107
7	8	102
8	9	97
9	10	93
10	11	89
11	12	95
12	13	93
13	14	91
14	16	91
15	17	92
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	86
22	25	85
23	26	83
24	27	81
25	28	79
26	28	78
27	29	76
28	30	75
29	31	74
30	33	73
31	34	72
32	34	70
33	35	69
34	36	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	88	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	95	0
99	96	0
