iter	Passed	Remaining
0	114	114365
1	115	57730
2	116	38771
3	117	29266
4	118	23569
5	119	19791
6	120	17107
7	121	15086
8	122	13541
9	124	12276
10	124	11230
11	125	10360
12	126	9618
13	127	8992
14	129	8472
15	131	8085
16	132	7663
17	133	7309
18	134	6968
19	136	6671
20	137	6389
21	137	6129
22	139	5904
23	139	5688
24	140	5489
25	141	5307
26	142	5138
27	143	4977
28	144	4830
29	145	4692
30	145	4559
31	147	4456
32	148	4346
33	149	4239
34	150	4140
35	152	4084
36	153	3998
37	154	3917
38	155	3837
39	157	3770
40	158	3701
41	159	3634
42	162	3617
43	163	3556
44	164	3495
45	165	3435
46	166	3377
47	167	3322
48	168	3268
49	169	3221
50	170	3176
51	171	3135
52	173	3094
53	174	3059
54	175	3021
55	177	2997
56	178	2959
57	180	2926
58	181	2895
59	184	2887
60	187	2888
61	189	2863
62	190	2833
63	191	2804
64	192	2770
65	193	2740
66	194	2709
67	195	2678
68	196	2649
69	197	2620
70	198	2593
71	199	2567
72	201	2553
73	202	2535
74	204	2520
75	205	2500
76	206	2479
77	207	2458
78	209	2436
79	209	2414
80	211	2393
81	212	2374
82	212	2349
83	213	2330
84	215	2317
85	216	2304
86	218	2288
87	219	2271
88	220	2254
89	221	2236
90	222	2223
91	223	2207
92	225	2194
93	226	2179
94	226	2161
95	228	2150
96	230	2141
97	231	2126
98	232	2113
99	233	2099
100	234	2084
101	235	2071
102	236	2060
103	237	2046
104	238	2033
105	239	2020
106	240	2006
107	241	1993
108	242	1982
109	243	1972
110	244	1960
111	245	1948
112	246	1936
113	247	1923
114	248	1910
115	249	1899
116	250	1886
117	250	1874
118	251	1862
119	252	1850
120	253	1838
121	253	1825
122	254	1813
123	255	1803
124	256	1793
125	258	1793
126	259	1782
127	260	1772
128	261	1763
129	262	1753
130	262	1744
131	263	1735
132	264	1726
133	265	1716
134	266	1707
135	267	1699
136	268	1689
137	269	1680
138	270	1672
139	270	1664
140	272	1658
141	272	1648
142	274	1642
143	274	1634
144	276	1628
145	277	1621
146	278	1613
147	278	1605
148	279	1597
149	280	1589
150	281	1583
151	282	1577
152	284	1572
153	285	1566
154	286	1561
155	287	1556
156	288	1549
157	289	1542
158	290	1535
159	291	1528
160	291	1520
161	292	1513
162	293	1506
163	294	1500
164	295	1493
165	296	1489
166	297	1482
167	298	1476
168	298	1469
169	300	1465
170	301	1460
171	302	1455
172	303	1448
173	303	1442
174	304	1437
175	306	1433
176	307	1429
177	308	1425
178	309	1420
179	310	1414
180	311	1409
181	312	1404
182	313	1398
183	314	1394
184	315	1389
185	316	1384
186	317	1379
187	318	1374
188	319	1369
189	320	1364
190	320	1359
191	321	1353
192	322	1347
193	323	1342
194	323	1337
195	324	1332
196	325	1327
197	326	1322
198	327	1317
199	328	1312
200	329	1309
201	330	1305
202	331	1301
203	332	1296
204	333	1291
205	333	1286
206	334	1281
207	335	1276
208	336	1272
209	337	1267
210	337	1263
211	338	1258
212	339	1254
213	340	1249
214	340	1244
215	341	1240
216	343	1238
217	344	1237
218	345	1233
219	347	1230
220	348	1226
221	348	1223
222	349	1219
223	350	1215
224	351	1210
225	352	1206
226	353	1202
227	353	1198
228	355	1195
229	356	1194
230	358	1191
231	358	1188
232	359	1184
233	360	1181
234	361	1177
235	362	1174
236	363	1171
237	364	1167
238	365	1163
239	366	1160
240	367	1157
241	368	1154
242	369	1150
243	370	1146
244	372	1147
245	373	1144
246	374	1142
247	375	1139
248	376	1135
249	377	1131
250	377	1127
251	378	1124
252	379	1120
253	380	1117
254	381	1114
255	382	1110
256	383	1107
257	383	1104
258	385	1102
259	387	1102
260	388	1099
261	389	1096
262	390	1093
263	391	1090
264	392	1087
265	393	1084
266	393	1081
267	394	1077
268	395	1074
269	396	1071
270	397	1068
271	398	1065
272	399	1062
273	400	1060
274	401	1057
275	402	1055
276	403	1052
277	404	1049
278	405	1046
279	406	1044
280	407	1041
281	408	1039
282	409	1036
283	410	1034
284	411	1032
285	412	1030
286	413	1027
287	415	1026
288	416	1024
289	417	1022
290	418	1019
291	419	1017
292	420	1015
293	422	1013
294	423	1010
295	423	1008
296	424	1005
297	425	1002
298	426	999
299	427	996
300	428	995
